GEMINI,86,$15.90 B,$5.29 B,$16.60 B,13.20
QUASAR,85,$14.80 B,$4.49 B,$16.50 B,13.80
SATURN,76,$12.80 B,$4.69 B,$14.80 B,12.70
DRACO,76,$12.80 B,$4.07 B,$14.70 B,13.50
ATLAS,81,$15.40 B,$4.23 B,$14.70 B,12.60
BART,78,$14.40 B,$4.82 B,$14.40 B,13.20
HYDRA,69,$11.70 B,$3.76 B,$14.10 B,13.50
LYNX,76,$14.00 B,$5.13 B,$14.10 B,12.70
TITAN,81,$13.10 B,$3.97 B,$13.70 B,13.80
ORION,73,$11.50 B,$3.36 B,$13.60 B,14.10
MARS,72,$12.70 B,$3.74 B,$13.50 B,14.10
VENUS,75,$13.20 B,$3.52 B,$13.40 B,12.70
PLUTO,81,$13.20 B,$3.93 B,$13.10 B,12.10
URSA,75,$12.10 B,$4.10 B,$12.90 B,13.20
NEPTUNE,76,$11.40 B,$4.10 B,$12.30 B,12.70
SNOOPY,76,$11.80 B,$2.97 B,$11.60 B,12.70
JUPITER,80,$13.90 B,$3.65 B,$11.50 B,12.20
