GEMINI,68,$1.51 B,$428.00 M,$1.15 B,1.61
QUASAR,66,$1.51 B,$418.00 M,$1.14 B,1.62
SATURN,66,$1.42 B,$392.00 M,$1.11 B,1.62
HYDRA,63,$1.35 B,$345.00 M,$1.07 B,1.66
DRACO,72,$1.51 B,$417.00 M,$1.06 B,1.61
VENUS,61,$1.35 B,$368.00 M,$1.03 B,1.76
ORION,58,$1.23 B,$324.00 M,$992.00 M,1.78
BART,66,$1.28 B,$336.00 M,$983.00 M,1.63
LYNX,58,$1.19 B,$313.00 M,$979.00 M,1.78
PLUTO,66,$1.16 B,$302.00 M,$976.00 M,1.63
ATLAS,60,$1.21 B,$327.00 M,$965.00 M,1.76
MARS,60,$1.21 B,$327.00 M,$956.00 M,1.76
NEPTUNE,54,$1.04 B,$280.00 M,$946.00 M,1.78
SNOOPY,54,$1.03 B,$277.00 M,$943.00 M,1.78
URSA,52,$1.03 B,$275.00 M,$942.00 M,1.80
TITAN,70,$1.23 B,$320.00 M,$912.00 M,1.61
JUPITER,53,$969.00 M,$261.00 M,$862.00 M,1.78
