SATURN,58,$1.51 B,$414.00 M,$722.00 M,1.78
QUASAR,58,$1.51 B,$414.00 M,$722.00 M,1.78
HYDRA,58,$1.51 B,$414.00 M,$722.00 M,1.78
GEMINI,58,$1.51 B,$414.00 M,$722.00 M,1.78
PLUTO,54,$1.31 B,$366.00 M,$674.00 M,1.78
URSA,52,$1.28 B,$360.00 M,$668.00 M,1.80
ORION,52,$1.28 B,$360.00 M,$668.00 M,1.80
VENUS,52,$1.30 B,$358.00 M,$666.00 M,1.80
SNOOPY,52,$1.30 B,$358.00 M,$666.00 M,1.80
NEPTUNE,52,$1.30 B,$358.00 M,$666.00 M,1.80
LYNX,52,$1.30 B,$358.00 M,$666.00 M,1.80
DRACO,53,$1.21 B,$341.00 M,$647.00 M,1.78
BART,53,$1.21 B,$341.00 M,$647.00 M,1.78
ATLAS,51,$1.21 B,$330.00 M,$638.00 M,1.80
MARS,51,$1.21 B,$333.00 M,$629.00 M,1.80
JUPITER,52,$1.17 B,$295.00 M,$601.00 M,1.86
TITAN,52,$1.19 B,$296.00 M,$592.00 M,1.86
